"JP105F7W"	"JP51F7W"	"JP64F7W"	"JP66F7W"	"JP77F7W"	"JP166F7W"	"JP258F7W"	"JP257F7W"	"JP190F7W"	"JP23F7W"	"JP31F7W"	"JP117F7W"	"JP110F7W"	"JP411F7W"	"JP124F7W"	"JP104F7W"	"JP136F7W"	"JP9F7W"	"JP260F7W"	"JP81F7W"	"JP10F7W"	"JP403F7W"	"JP401F7W"	"JP129F7W"	"JP133F7W"	"JP20F7W"	"JP106F7W"	"JP103F7W"	"JP146F7W"	"JP45F7W"	"JP165F7W"	"JP48F7W"	"JP205F7W"	"JP83F7W"	"JP410F7W"	"JP119F7W"	"JP24F7W"	"JP221F7W"	"JP108F7W"	"JP78F7W"	"JP112F7W"	"JP116F7W"	"JP16F7W"	"JP409F7W"	"JP160F7W"	"JP3F7W"	"JP18F7W"	"JP131F7W"	"JP111F7W"	"JP107F7W"	"JP259F7W"	"JP39F7W"	"JP222F7W"	"JP22F7W"	"JP118F7W"	"JP97F7W"	"JP38F7W"	"JP187F7W"	"JP132F7W"	"JP201F7W"	"JP76F7W"	"JP102F7W"	"JP5F7W"	"JP59F7W"	"JP151F7W"	"JP88F7W"	"JP30F7W"	"JP43F7W"	"JP82F7W"	"JP67F7W"	"JP71F7W"	"JP162F7W"	"JP27F7W"	"JP120F7W"	"JP84F7W"	"JP123F7W"	"JP121F7W"	"JP156F7W"	"JP139F7W"	"JP114F7W"	"JP21F7W"	"JP11F7W"	"JP13F7W"	"JP223F7W"	"JP86F7W"	"JP2F7W"	"JP155F7W"	"JP1F7W"	"JP154F7W"	"JP159F7W"	"JP182F7W"	"JP12F7W"	"JP15F7W"	"JP202F7W"	"JP141F7W"	"JP406F7W"	"JP89F7W"	"JP19F7W"	"JP101F7W"	"JP184F7W"	"JP53F7W"	"JP186F7W"	"JP185F7W"	"JP85F7W"	"JP17F7W"	"JP98F7W"	"JP75F7W"	"JP33F7W"	"JP25F7W"	"JP163F7W"	"JP169F7W"	"JP74F7W"	"JP55F7W"	"JP130F7W"	"JP183F7W"	"JP58F7W"	"JP170F7W"	"JP4F7W"	"JP44F7W"	"JP72F7W"	"JP224F7W"	"JP79F7W"	"JP152F7W"	"JP137F7W"	"JP87F7W"	"JP153F7W"	"JP29F7W"	"JP99F7W"	"JP172F7W"	"JP157F7W"	"JP138F7W"	"JP63F7W"	"JP173F7W"	"JP191F7W"	"JP253F7W"	"JP52F7W"	"JP6F7W"	"JP206F7W"	"JP158F7W"	"JP70F7W"	"JP181F7W"	"JP192F7W"	"JP56F7W"	"JP57F7W"	"JP54F7W"	"JP174F7W"	"JP60F7W"	"JP73F7W"	"JP177F7W"	"JP62F7W"	"JP179F7W"	"JP189F7W"	"JP188F7W"	"JP69F7W"	"161FW6"	"454FW6"	"455FW6"	"451FW8"	"109FW7"	"113FW7"	"8FW6"	"402F7W"	"198FW7"	"145F7W"	"454FW8"	"199FW7"	"171FW6"	"144F7W"	"164FW6"	"65FW7"	"68FW7"	"200FW7"	"455FW8"
"New.0.CleanUp.ReferenceOTU62556"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	16	13	0	2	0	0	0	0	2	0	1	3	0
"363731"	5	5	0	2	0	0	1	2	0	0	5	2	8	1	0	5	2	7	1	3	0	3	4	4	2	3	28	2	3	1	0	3	1	1	0	2	1	5	5	2	3	12	4	1	4	1	1	3	0	1	1	0	0	1	3	0	6	2	3	2	3	6	0	0	5	4	3	3	5	0	1	1	24	19	0	3	1	0	5	5	4	1	0	0	0	1	0	0	0	0	2	0	5	1	1	4	3	6	1	6	5	0	1	3	3	6	0	4	5	3	0	1	2	4	1	0	3	1	4	0	0	1	1	3	4	27	2	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	0	2	0	0	2	5	1	0	0	0	0
"178331"	9	6	0	0	0	6	3	3	0	2	12	7	8	3	7	6	12	10	4	11	8	1	5	3	3	5	9	13	3	1	5	8	12	8	3	2	5	3	9	5	19	21	16	6	6	5	11	8	13	15	2	8	1	8	4	0	8	2	9	3	13	12	5	0	4	3	8	8	3	0	5	3	1	6	8	13	7	2	5	4	5	2	3	2	12	10	2	5	2	3	6	2	7	7	6	4	5	3	6	8	1	10	2	4	3	5	1	11	8	3	2	3	2	3	0	0	14	15	1	0	1	1	1	0	2	3	5	0	0	1	2	2	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	13	15	0	10	0	0	2	11	3	0	2	3	0
"4306262"	14679	9762	278	643	580	4212	3098	3159	11	6529	10444	6152	15526	4470	7151	12253	7013	8552	3854	12902	8077	4401	9064	7785	6658	4231	16306	20258	5578	5124	5250	4916	4150	5897	4787	7461	5961	3302	14103	4336	19340	20975	9956	4849	8288	7524	8689	8279	12711	12734	3383	7968	1854	10821	5664	282	7606	5950	7193	4801	5426	11902	5504	1083	4368	7860	8251	5906	5205	1073	3609	5567	2547	7040	4461	13071	5752	2448	6919	10005	6383	7544	6811	3718	4761	7351	1815	2822	3671	4582	6443	3153	5579	4804	4560	5263	5761	3188	5505	6817	2840	9298	3301	6865	5338	2002	1821	7756	9405	5738	1020	2133	4069	3720	1976	316	6273	9814	5496	1323	2448	2451	1754	4194	5127	3000	7682	1321	1290	2426	4012	618	839	108	79	422	2207	391	454	697	161	22	487	99	283	80	116	76	31	32	7	4	2	1	642	34	39	45	2608	2053	8865	14012	18	6225	6	14	1225	8133	2508	158	1886	1884	9
"New.0.CleanUp.ReferenceOTU51825"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	14	30	0	9	0	0	2	14	2	0	2	3	0
"588471"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU305"	49	49	1	8	3	59	22	10	1	32	35	11	38	19	5	33	24	58	12	35	37	9	18	13	19	12	34	63	14	14	23	13	11	25	21	17	23	12	41	33	43	46	38	22	36	46	48	14	42	24	13	21	13	39	23	3	32	11	20	14	32	34	35	11	34	34	31	13	25	10	30	21	8	12	20	23	11	13	20	31	18	30	11	9	27	27	20	10	32	17	26	7	26	12	14	29	22	8	18	14	31	24	17	18	13	26	10	28	22	24	14	14	25	4	12	1	9	34	14	18	8	21	13	13	26	32	20	6	12	7	7	11	16	0	0	3	24	1	7	10	0	1	1	4	5	2	2	1	0	1	0	0	0	0	11	1	0	1	12	6	74	54	1	23	0	0	13	25	26	4	16	11	0
"New.0.CleanUp.ReferenceOTU14027"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	1	0	1	0	0	0	0	4	0	0	2	0	1	0	0	0	2	1	0	3	3	2	2	2	0	0	0	0	3	0	5	1	0	7	0	0	1	0	0	2	0	1	3	0	1	1	0	1	4	0	3	1	0	0	0	1	0	1	7	4	0	0	1	0	0	2	5	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	4	5	3	2	1	0	0	2	0	2	0	2	0	0	1	0	1	1	2	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	31	23	53	148	0	53	1	0	9	55	34	3	44	15	0
"4328189"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	64	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"4333897"	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	13	0	0	22	0	0	0	0	0	0	0	0	0	19	40	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	1	1	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0
